entry_date,exit_date,direction,entry_price,exit_price,contracts,pnl_gross,commission,pnl_net,holding_days,exit_reason
2018-04-11,2018-04-16,1,487.5,462.5,1,-1250.0,3.0,-1253.0,5,signal_exit
2018-05-23,2018-05-30,1,531.25,516.9017857142857,1,-717.41,3.0,-720.41,7,stop
2018-05-30,2018-06-05,1,522.25,510.25,1,-600.0,3.0,-603.0,6,signal_exit
2018-06-07,2018-06-12,1,527.0,534.75,1,387.5,3.0,384.5,5,signal_exit
2018-06-13,2018-06-18,1,516.75,490.25,1,-1325.0,3.0,-1328.0,5,signal_exit
2018-07-26,2018-08-10,1,536.75,547.0,1,512.5,3.0,509.5,15,signal_exit
2018-09-14,2018-09-17,-1,479.75,506.0,1,-1312.5,3.0,-1315.5,3,signal_exit
2018-11-16,2018-11-20,1,507.0,501.0,1,-300.0,3.0,-303.0,4,signal_exit
2018-11-21,2018-12-06,1,499.0,505.8392857142857,1,341.96,3.0,338.96,15,stop
2018-12-06,2018-12-13,1,505.5,528.0,1,1125.0,3.0,1122.0,7,signal_exit
2018-12-14,2018-12-19,1,528.0,522.75,1,-262.5,3.0,-265.5,5,signal_exit
2019-01-24,2019-01-25,1,521.75,520.25,1,-75.0,3.0,-78.0,1,signal_exit
2019-02-05,2019-02-06,1,527.5,526.25,1,-62.5,3.0,-65.5,1,signal_exit
2019-02-11,2019-02-12,1,518.5,520.25,1,87.5,3.0,84.5,1,signal_exit
2019-02-20,2019-03-12,-1,480.5,438.39285714285717,1,2105.36,3.0,2102.36,20,stop
2019-03-12,2019-03-21,-1,446.0,466.25,1,-1012.5,3.0,-1015.5,9,signal_exit
2019-05-17,2019-06-19,1,465.25,522.5,1,2862.5,3.0,2859.5,33,signal_exit
2019-06-27,2019-06-28,1,547.75,528.25,1,-975.0,3.0,-978.0,1,signal_exit
2019-08-13,2019-08-19,-1,471.75,465.25,1,325.0,3.0,322.0,6,signal_exit
2019-08-21,2019-08-26,-1,462.25,472.75,1,-525.0,3.0,-528.0,5,signal_exit
2019-08-28,2019-09-06,-1,472.0,460.0,1,600.0,3.0,597.0,9,signal_exit
2019-11-11,2019-11-12,1,506.0,517.25,1,562.5,3.0,559.5,1,signal_exit
2019-11-13,2019-11-15,1,509.25,503.0,1,-312.5,3.0,-315.5,2,signal_exit
2019-11-21,2019-12-19,1,509.25,545.5,1,1812.5,3.0,1809.5,28,signal_exit
2020-01-16,2020-01-17,1,565.5,570.75,1,262.5,3.0,259.5,1,signal_exit
2020-01-27,2020-01-29,1,572.5,562.5,1,-500.0,3.0,-503.0,2,signal_exit
2020-02-19,2020-02-21,1,565.5,551.25,1,-712.5,3.0,-715.5,2,signal_exit
2020-03-23,2020-04-02,1,562.75,542.0,1,-1037.5,3.0,-1040.5,10,signal_exit
2020-04-16,2020-04-20,-1,529.5,548.5,1,-950.0,3.0,-953.0,4,signal_exit
2020-04-27,2020-04-28,-1,520.75,526.5,1,-287.5,3.0,-290.5,1,signal_exit
2020-04-30,2020-05-01,-1,529.5,521.25,1,412.5,3.0,409.5,1,signal_exit
2020-05-19,2020-05-20,-1,498.5,513.5,1,-750.0,3.0,-753.0,1,signal_exit
2020-06-03,2020-06-04,-1,511.75,527.2053571428571,1,-772.77,3.0,-775.77,1,stop
2020-06-04,2020-06-05,-1,523.5,515.0,1,425.0,3.0,422.0,1,signal_exit
2020-06-12,2020-06-15,-1,501.75,504.5,1,-137.5,3.0,-140.5,3,signal_exit
2020-06-18,2020-07-01,-1,483.25,498.5,1,-762.5,3.0,-765.5,13,signal_exit
2020-07-02,2020-07-08,-1,489.75,507.64285714285717,1,-894.64,3.0,-897.64,6,stop
2020-07-08,2020-07-09,-1,517.25,526.0,1,-437.5,3.0,-440.5,1,signal_exit
2020-07-10,2020-07-13,-1,535.5,524.5,1,550.0,3.0,547.0,3,signal_exit
2020-07-21,2020-07-27,-1,527.5,527.5,1,-0.0,3.0,-3.0,6,signal_exit
2020-07-28,2020-07-29,-1,523.25,532.5,1,-462.5,3.0,-465.5,1,signal_exit
2020-08-10,2020-08-12,-1,490.75,491.0,1,-12.5,3.0,-15.5,2,signal_exit
2020-08-13,2020-08-14,-1,496.5,499.75,1,-162.5,3.0,-165.5,1,signal_exit
2020-09-01,2020-09-14,1,556.0,548.75,1,-362.5,3.0,-365.5,13,signal_exit
2020-09-21,2020-09-22,1,555.0,558.25,1,162.5,3.0,159.5,1,signal_exit
2020-10-22,2020-10-23,1,623.0,633.0,1,500.0,3.0,497.0,1,signal_exit
2020-11-23,2020-11-24,-1,598.5,611.0,1,-625.0,3.0,-628.0,1,signal_exit
2020-12-02,2020-12-03,-1,577.75,571.5,1,312.5,3.0,309.5,1,signal_exit
2020-12-07,2020-12-08,-1,571.0,563.5,1,375.0,3.0,372.0,1,signal_exit
2020-12-18,2020-12-21,1,608.5,611.5,1,150.0,3.0,147.0,3,signal_exit
2020-12-22,2020-12-28,1,617.25,607.2946428571429,1,-497.77,3.0,-500.77,6,stop
2020-12-28,2021-01-08,1,614.5,639.0,1,1225.0,3.0,1222.0,11,signal_exit
2021-01-13,2021-01-14,1,660.75,670.25,1,475.0,3.0,472.0,1,signal_exit
2021-01-19,2021-01-20,1,672.5,668.0,1,-225.0,3.0,-228.0,1,signal_exit
2021-01-26,2021-01-27,-1,665.0,658.0,1,350.0,3.0,347.0,1,signal_exit
2021-02-04,2021-02-09,-1,637.25,649.25,1,-600.0,3.0,-603.0,5,signal_exit
2021-02-10,2021-02-12,-1,635.25,636.5,1,-62.5,3.0,-65.5,2,signal_exit
2021-04-12,2021-04-13,1,628.25,630.0,1,87.5,3.0,84.5,1,signal_exit
2021-04-26,2021-04-30,1,739.75,742.75,1,150.0,3.0,147.0,4,signal_exit
2021-05-03,2021-05-04,1,725.75,737.25,1,575.0,3.0,572.0,1,signal_exit
2021-05-06,2021-05-11,1,764.5,760.0,1,-225.0,3.0,-228.0,5,signal_exit
2021-05-18,2021-05-19,-1,697.75,679.0,1,937.5,3.0,934.5,1,signal_exit
2021-06-18,2021-06-21,-1,662.5,661.25,1,62.5,3.0,59.5,3,signal_exit
2021-06-28,2021-06-30,-1,645.75,671.25,1,-1275.0,3.0,-1278.0,2,signal_exit
2021-07-06,2021-07-13,-1,619.75,628.5,1,-437.5,3.0,-440.5,7,signal_exit
2021-08-25,2021-08-27,-1,711.0,718.25,1,-362.5,3.0,-365.5,2,signal_exit
2021-10-04,2021-10-11,1,756.75,732.0,1,-1237.5,3.0,-1240.5,7,signal_exit
2021-10-15,2021-10-19,1,734.25,736.25,1,100.0,3.0,97.0,4,signal_exit
2021-10-29,2021-11-08,1,773.0,768.25,1,-237.5,3.0,-240.5,10,signal_exit
2021-11-11,2021-11-12,1,812.75,817.25,1,225.0,3.0,222.0,1,signal_exit
2021-11-16,2021-11-18,1,810.5,820.25,1,487.5,3.0,484.5,2,signal_exit
2021-11-30,2021-12-09,-1,773.5,773.25,1,12.5,3.0,9.5,9,signal_exit
2021-12-10,2021-12-13,-1,781.75,785.25,1,-175.0,3.0,-178.0,3,signal_exit
2021-12-14,2021-12-15,-1,785.25,755.75,1,1475.0,3.0,1472.0,1,signal_exit
2022-02-16,2022-02-17,-1,780.25,797.75,1,-875.0,3.0,-878.0,1,signal_exit
2022-03-02,2022-03-04,1,1058.75,1202.1160714285713,1,7168.3,3.0,7165.3,2,stop
