entry_date,exit_date,direction,entry_price,exit_price,contracts,pnl_gross,commission,pnl_net,holding_days,exit_reason
2019-01-03,2019-02-21,1,900.5,911.25,1,537.5,3.0,534.5,49,signal_exit
2019-02-22,2019-03-05,1,910.5,901.5,1,-450.0,3.0,-453.0,11,signal_exit
2019-03-08,2019-03-12,1,884.0,885.0,1,50.0,3.0,47.0,4,signal_exit
2019-07-02,2019-07-08,1,876.5,875.5,1,-50.0,3.0,-53.0,6,signal_exit
2019-07-11,2019-07-12,1,896.5,907.0,1,525.0,3.0,522.0,1,signal_exit
2019-07-15,2019-07-17,1,902.0,882.75,1,-962.5,3.0,-965.5,2,signal_exit
2019-07-22,2019-07-26,1,888.5,883.5,1,-250.0,3.0,-253.0,4,signal_exit
2019-07-30,2019-08-01,1,879.0,847.25,1,-1587.5,3.0,-1590.5,2,signal_exit
2019-09-03,2019-09-05,1,856.75,850.0,1,-337.5,3.0,-340.5,2,signal_exit
2019-09-13,2019-11-06,1,885.0,915.25,1,1512.5,3.0,1509.5,54,signal_exit
2019-11-15,2019-11-18,-1,918.0,910.0,1,400.0,3.0,397.0,3,signal_exit
2019-11-19,2019-11-20,1,911.75,905.25,1,-325.0,3.0,-328.0,1,signal_exit
2019-12-06,2019-12-10,-1,889.25,901.0,1,-587.5,3.0,-590.5,4,signal_exit
2019-12-17,2019-12-20,-1,928.5,928.0,1,25.0,3.0,22.0,3,signal_exit
2020-01-09,2020-01-10,1,934.0,935.25,1,62.5,3.0,59.5,1,signal_exit
2020-01-24,2020-01-28,-1,901.75,894.75,1,350.0,3.0,347.0,4,signal_exit
2020-01-29,2020-01-30,-1,892.75,876.0,1,837.5,3.0,834.5,1,signal_exit
2020-02-04,2020-02-06,1,879.75,881.25,1,75.0,3.0,72.0,2,signal_exit
2020-02-12,2020-03-04,1,892.75,899.0,1,312.5,3.0,309.5,21,signal_exit
2020-03-10,2020-03-13,1,873.25,847.0,1,-1312.5,3.0,-1315.5,3,signal_exit
2020-03-18,2020-03-19,-1,825.25,847.8214285714286,1,-1128.57,3.0,-1131.57,1,stop
2020-03-19,2020-04-06,-1,843.0,855.25,1,-612.5,3.0,-615.5,18,signal_exit
2020-04-09,2020-04-16,1,863.75,837.0,1,-1337.5,3.0,-1340.5,7,signal_exit
2020-04-21,2020-05-18,1,831.0,845.25,1,712.5,3.0,709.5,27,signal_exit
2020-05-27,2020-06-01,1,848.75,840.75,1,-400.0,3.0,-403.0,5,signal_exit
2020-06-04,2020-07-31,1,868.0,897.75,1,1487.5,3.0,1484.5,57,signal_exit
2020-09-04,2020-09-08,1,969.75,973.25,1,175.0,3.0,172.0,4,signal_exit
2020-09-09,2020-09-15,1,980.0,996.5714285714286,1,828.57,3.0,825.57,6,stop
2020-09-15,2020-09-16,1,991.75,1011.5,1,987.5,3.0,984.5,1,signal_exit
2020-09-28,2020-09-30,-1,996.0,1023.25,1,-1362.5,3.0,-1365.5,2,signal_exit
2020-10-05,2020-10-06,-1,1021.25,1043.75,1,-1125.0,3.0,-1128.0,1,signal_exit
2020-10-07,2020-11-10,-1,1050.75,1140.0357142857142,1,-4464.29,3.0,-4467.29,34,stop
2020-11-10,2020-11-24,-1,1138.0,1191.0,1,-2650.0,3.0,-2653.0,14,signal_exit
