entry_date,exit_date,direction,entry_price,exit_price,contracts,pnl_gross,commission,pnl_net,holding_days,exit_reason
2018-11-20,2018-12-03,-1,361.0,371.0,1,-500.0,3.0,-503.0,13,signal_exit
2018-12-27,2019-01-16,1,374.75,374.25,1,-25.0,3.0,-28.0,20,signal_exit
2019-01-18,2019-01-23,1,382.0,379.0,1,-150.0,3.0,-153.0,5,signal_exit
2019-01-24,2019-01-25,1,377.25,380.5,1,162.5,3.0,159.5,1,signal_exit
2019-01-28,2019-02-05,1,380.0,381.0,1,50.0,3.0,47.0,8,signal_exit
2019-02-14,2019-02-15,1,375.0,375.0,1,0.0,3.0,-3.0,1,signal_exit
2019-03-22,2019-03-29,1,378.5,364.75,1,-687.5,3.0,-690.5,7,stop
2019-03-29,2019-04-01,1,356.75,362.0,1,262.5,3.0,259.5,3,signal_exit
2019-04-26,2019-05-03,-1,351.0,362.75,1,-587.5,3.0,-590.5,7,signal_exit
2019-05-07,2019-05-14,-1,357.75,359.67857142857144,1,-96.43,3.0,-99.43,7,stop
2019-05-14,2019-05-15,-1,360.25,372.7142857142857,1,-623.21,3.0,-626.21,1,stop
2019-05-15,2019-05-16,-1,369.25,378.75,1,-475.0,3.0,-478.0,1,signal_exit
2019-06-06,2019-06-14,1,420.75,453.25,1,1625.0,3.0,1622.0,8,signal_exit
2019-06-20,2019-06-28,1,450.25,416.64285714285717,1,-1680.36,3.0,-1683.36,8,stop
2019-06-28,2019-07-01,1,420.5,412.25,1,-412.5,3.0,-415.5,3,signal_exit
2019-07-05,2019-07-16,1,434.25,435.5,1,62.5,3.0,59.5,11,signal_exit
2019-11-08,2019-11-11,-1,377.0,373.0,1,200.0,3.0,197.0,3,signal_exit
2019-11-12,2019-12-12,-1,377.5,366.75,1,537.5,3.0,534.5,30,stop
2019-12-12,2019-12-16,-1,366.75,377.0357142857143,1,-514.29,3.0,-517.29,4,stop
2019-12-16,2019-12-17,-1,387.75,389.75,1,-100.0,3.0,-103.0,1,signal_exit
2020-01-17,2020-01-21,-1,389.0,387.25,1,87.5,3.0,84.5,4,signal_exit
2020-02-04,2020-02-05,-1,382.0,380.5,1,75.0,3.0,72.0,1,signal_exit
2020-02-07,2020-02-10,-1,383.25,381.5,1,87.5,3.0,84.5,3,signal_exit
2020-02-12,2020-02-13,-1,382.75,379.25,1,175.0,3.0,172.0,1,signal_exit
2020-02-14,2020-02-19,-1,377.5,380.25,1,-137.5,3.0,-140.5,5,signal_exit
2020-02-20,2020-03-04,-1,378.25,386.75,1,-425.0,3.0,-428.0,13,signal_exit
2020-03-09,2020-03-18,-1,374.0,335.0,1,1950.0,3.0,1947.0,9,signal_exit
2020-03-20,2020-04-03,-1,343.5,330.5,1,650.0,3.0,647.0,14,signal_exit
2020-04-08,2020-04-15,-1,329.75,319.0,1,537.5,3.0,534.5,7,signal_exit
2020-04-20,2020-04-21,-1,314.0,309.0,1,250.0,3.0,247.0,1,signal_exit
2020-04-23,2020-04-28,-1,319.0,302.5,1,825.0,3.0,822.0,5,signal_exit
2020-05-01,2020-05-15,-1,311.25,319.0,1,-387.5,3.0,-390.5,14,signal_exit
2020-05-18,2020-05-20,-1,320.5,319.25,1,62.5,3.0,59.5,2,signal_exit
2020-05-26,2020-05-27,-1,318.75,320.25,1,-75.0,3.0,-78.0,1,signal_exit
2020-06-26,2020-06-30,-1,316.75,338.25,1,-1075.0,3.0,-1078.0,4,signal_exit
2020-07-16,2020-07-17,-1,330.0,332.75,1,-137.5,3.0,-140.5,1,signal_exit
2020-07-21,2020-07-24,-1,322.5,326.0,1,-175.0,3.0,-178.0,3,signal_exit
2020-07-30,2020-08-13,-1,315.5,323.25,1,-387.5,3.0,-390.5,14,stop
2020-08-13,2020-08-18,-1,325.0,326.75,1,-87.5,3.0,-90.5,5,signal_exit
2020-08-21,2020-08-24,-1,326.75,331.5,1,-237.5,3.0,-240.5,3,signal_exit
2020-10-13,2020-10-15,1,391.5,404.0,1,625.0,3.0,622.0,2,signal_exit
2020-10-29,2020-11-11,1,398.75,417.5,1,937.5,3.0,934.5,13,signal_exit
2020-11-12,2020-12-11,1,408.5,424.5,1,800.0,3.0,797.0,29,signal_exit
2020-12-14,2020-12-24,1,419.5,451.25,1,1587.5,3.0,1584.5,10,signal_exit
2021-01-25,2021-01-29,1,511.75,547.25,1,1775.0,3.0,1772.0,4,signal_exit
2021-02-03,2021-02-04,1,552.25,550.25,1,-100.0,3.0,-103.0,1,signal_exit
2021-02-08,2021-02-09,1,564.0,556.5,1,-375.0,3.0,-378.0,1,signal_exit
2021-02-10,2021-03-11,1,534.75,555.25,1,1025.0,3.0,1022.0,29,signal_exit
2021-03-15,2021-03-19,1,549.75,558.0,1,412.5,3.0,409.5,4,signal_exit
2021-03-22,2021-03-25,1,549.25,546.75,1,-125.0,3.0,-128.0,3,signal_exit
2021-04-01,2021-04-07,1,560.0,560.75,1,37.5,3.0,34.5,6,signal_exit
2021-04-09,2021-04-22,1,577.5,650.75,1,3662.5,3.0,3659.5,13,signal_exit
2021-05-14,2021-05-26,1,685.25,624.75,1,-3025.0,3.0,-3028.0,12,signal_exit
2021-06-17,2021-06-18,1,633.25,655.5,1,1112.5,3.0,1109.5,1,signal_exit
2021-06-30,2021-07-07,1,720.25,652.75,1,-3375.0,3.0,-3378.0,7,signal_exit
2021-07-15,2021-07-16,1,564.5,556.25,1,-412.5,3.0,-415.5,1,signal_exit
2021-09-13,2021-09-15,-1,496.5,528.8571428571429,1,-1617.86,3.0,-1620.86,2,stop
2021-09-15,2021-09-30,-1,533.25,536.5,1,-162.5,3.0,-165.5,15,signal_exit
2021-10-15,2021-10-19,-1,525.5,530.0,1,-225.0,3.0,-228.0,4,signal_exit
2022-02-03,2022-02-24,1,617.0,695.25,1,3912.5,3.0,3909.5,21,signal_exit
2022-02-28,2022-03-02,1,697.75,739.25,1,2075.0,3.0,2072.0,2,signal_exit
2022-03-10,2022-03-14,1,758.0,728.5,1,-1475.0,3.0,-1478.0,4,signal_exit
2022-03-15,2022-03-31,1,758.25,749.0,1,-462.5,3.0,-465.5,16,signal_exit
2022-04-01,2022-04-04,1,735.25,750.75,1,775.0,3.0,772.0,3,signal_exit
2022-04-06,2022-04-12,1,756.75,776.5,1,987.5,3.0,984.5,6,signal_exit
2022-04-13,2022-05-18,1,783.75,781.75,1,-100.0,3.0,-103.0,35,signal_exit
2022-06-21,2022-06-22,1,761.0,768.25,1,362.5,3.0,359.5,1,signal_exit
2022-07-11,2022-07-13,1,781.5,740.25,1,-2062.5,3.0,-2065.5,2,signal_exit
2022-11-04,2022-11-07,-1,680.75,675.5,1,262.5,3.0,259.5,3,signal_exit
2022-11-08,2022-12-05,-1,667.25,628.5,1,1937.5,3.0,1934.5,27,signal_exit
