entry_date,exit_date,direction,entry_price,exit_price,contracts,pnl_gross,commission,pnl_net,holding_days,exit_reason
2018-10-26,2018-11-01,-1,844.75,862.9642857142857,1,-910.71,3.0,-913.71,6,stop
2018-11-01,2018-11-02,-1,868.75,875.0,1,-312.5,3.0,-315.5,1,signal_exit
2018-12-27,2018-12-28,-1,868.75,882.5,1,-687.5,3.0,-690.5,1,signal_exit
2019-02-04,2019-02-15,1,918.75,907.75,1,-550.0,3.0,-553.0,11,signal_exit
2019-02-19,2019-02-20,1,901.0,902.75,1,87.5,3.0,84.5,1,signal_exit
2019-02-22,2019-02-25,1,910.5,912.0,1,75.0,3.0,72.0,3,signal_exit
2019-03-21,2019-03-25,1,910.75,906.75,1,-200.0,3.0,-203.0,4,signal_exit
2019-04-05,2019-04-08,1,899.25,899.0,1,-12.5,3.0,-15.5,3,signal_exit
2019-05-15,2019-05-28,-1,835.25,857.5,1,-1112.5,3.0,-1115.5,13,stop
2019-05-28,2019-05-29,-1,855.75,871.75,1,-800.0,3.0,-803.0,1,signal_exit
2019-07-31,2019-09-03,-1,863.75,856.25,1,375.0,3.0,372.0,34,signal_exit
2019-09-09,2019-09-12,-1,844.75,876.1785714285714,1,-1571.43,3.0,-1574.43,3,stop
2019-09-12,2019-09-13,-1,882.75,884.5,1,-87.5,3.0,-90.5,1,signal_exit
2019-10-21,2019-10-31,1,933.5,917.0,1,-825.0,3.0,-828.0,10,signal_exit
2019-11-01,2019-11-07,1,924.5,925.25,1,37.5,3.0,34.5,6,signal_exit
2019-11-08,2019-11-11,1,919.75,905.25,1,-725.0,3.0,-728.0,3,signal_exit
2019-12-17,2020-01-22,1,929.0,914.0,1,-750.0,3.0,-753.0,36,signal_exit
2020-03-20,2020-03-25,-1,862.25,881.25,1,-950.0,3.0,-953.0,5,signal_exit
2020-03-27,2020-03-31,-1,881.25,885.75,1,-225.0,3.0,-228.0,4,signal_exit
2020-04-02,2020-04-15,-1,858.5,841.75,1,837.5,3.0,834.5,13,signal_exit
2020-04-21,2020-05-18,-1,830.5,844.75,1,-712.5,3.0,-715.5,27,signal_exit
2020-05-26,2020-05-27,-1,846.75,848.25,1,-75.0,3.0,-78.0,1,signal_exit
2020-06-02,2020-06-03,-1,850.25,857.25,1,-350.0,3.0,-353.0,1,signal_exit
2020-08-10,2020-08-12,-1,876.25,890.25,1,-700.0,3.0,-703.0,2,signal_exit
2020-08-13,2020-08-24,1,907.5,900.0,1,-375.0,3.0,-378.0,11,signal_exit
2020-08-26,2020-08-28,1,919.75,950.75,1,1550.0,3.0,1547.0,2,signal_exit
2020-09-16,2020-09-17,1,1011.5,1028.75,1,862.5,3.0,859.5,1,signal_exit
2020-09-22,2020-10-08,1,1020.0,1050.25,1,1512.5,3.0,1509.5,16,signal_exit
2020-10-13,2020-10-27,1,1044.25,1082.5,1,1912.5,3.0,1909.5,14,signal_exit
2020-10-28,2020-11-11,1,1057.5,1143.5,1,4300.0,3.0,4297.0,14,signal_exit
2020-12-01,2020-12-21,1,1162.25,1243.5,1,4062.5,3.0,4059.5,20,signal_exit
2021-01-20,2021-01-22,1,1369.75,1309.607142857143,1,-3007.14,3.0,-3010.14,2,stop
2021-01-22,2021-02-11,1,1312.0,1367.75,1,2787.5,3.0,2784.5,20,signal_exit
2021-02-22,2021-03-26,1,1384.0,1400.75,1,837.5,3.0,834.5,32,signal_exit
2021-04-01,2021-04-05,1,1402.25,1413.0,1,537.5,3.0,534.5,4,signal_exit
2021-04-19,2021-04-23,1,1450.0,1540.0,1,4500.0,3.0,4497.0,4,signal_exit
2021-04-30,2021-05-03,1,1571.25,1560.5,1,-537.5,3.0,-540.5,3,signal_exit
2021-05-04,2021-05-06,1,1577.25,1605.75,1,1425.0,3.0,1422.0,2,signal_exit
2021-05-14,2021-05-24,1,1604.0,1523.0,1,-4050.0,3.0,-4053.0,10,signal_exit
2021-06-03,2021-06-04,1,1549.5,1584.0,1,1725.0,3.0,1722.0,1,signal_exit
2021-06-07,2021-06-08,1,1560.5,1580.25,1,987.5,3.0,984.5,1,signal_exit
2021-08-11,2021-08-12,1,1405.75,1401.75,1,-200.0,3.0,-203.0,1,signal_exit
2021-09-02,2021-10-13,-1,1279.0,1195.0,1,4200.0,3.0,4197.0,41,signal_exit
2021-10-15,2021-11-03,-1,1217.5,1231.25,1,-687.5,3.0,-690.5,19,signal_exit
2021-11-04,2021-11-11,-1,1209.0,1212.0,1,-150.0,3.0,-153.0,7,signal_exit
2021-12-01,2021-12-03,-1,1228.0,1267.0,1,-1950.0,3.0,-1953.0,2,signal_exit
2022-02-16,2022-02-18,1,1587.75,1601.75,1,700.0,3.0,697.0,2,signal_exit
2022-02-28,2022-03-02,1,1644.5,1677.75,1,1662.5,3.0,1659.5,2,signal_exit
2022-03-03,2022-03-30,1,1680.5,1664.25,1,-812.5,3.0,-815.5,27,signal_exit
2022-04-14,2022-04-25,1,1682.5,1703.75,1,1062.5,3.0,1059.5,11,signal_exit
2022-04-26,2022-04-27,1,1705.5,1726.75,1,1062.5,3.0,1059.5,1,signal_exit
2022-04-28,2022-05-03,1,1706.75,1659.25,1,-2375.0,3.0,-2378.0,5,signal_exit
2022-05-06,2022-05-09,1,1655.75,1621.25,1,-1725.0,3.0,-1728.0,3,signal_exit
2022-05-16,2022-05-17,1,1656.75,1678.25,1,1075.0,3.0,1072.0,1,signal_exit
