entry_date,exit_date,direction,entry_price,exit_price,contracts,pnl_gross,commission,pnl_net,holding_days,exit_reason
2018-10-17,2018-10-19,1,517.75,515.0,1,-137.5,3.0,-140.5,2,signal_exit
2018-11-13,2018-11-14,1,508.0,503.25,1,-237.5,3.0,-240.5,1,signal_exit
2018-12-03,2018-12-06,1,516.0,501.2857142857143,1,-735.71,3.0,-738.71,3,stop
2018-12-06,2018-12-07,1,505.5,519.75,1,712.5,3.0,709.5,1,signal_exit
2018-12-10,2018-12-27,1,515.0,510.75,1,-212.5,3.0,-215.5,17,signal_exit
2018-12-28,2019-01-02,1,511.75,507.0,1,-237.5,3.0,-240.5,5,signal_exit
2019-01-07,2019-01-08,1,517.0,518.0,1,50.0,3.0,47.0,1,signal_exit
2019-01-09,2019-01-11,1,520.25,519.75,1,-25.0,3.0,-28.0,2,signal_exit
2019-01-14,2019-01-15,1,514.5,511.25,1,-162.5,3.0,-165.5,1,signal_exit
2019-01-24,2019-01-30,1,521.75,517.0,1,-237.5,3.0,-240.5,6,signal_exit
2019-01-31,2019-02-08,1,516.75,517.5,1,37.5,3.0,34.5,8,signal_exit
2019-02-12,2019-02-14,1,520.25,506.57142857142856,1,-683.93,3.0,-686.93,2,stop
2019-02-14,2019-02-15,1,507.25,504.5,1,-137.5,3.0,-140.5,1,signal_exit
2019-03-13,2019-03-27,-1,440.0,469.25,1,-1462.5,3.0,-1465.5,14,signal_exit
2019-04-16,2019-05-01,-1,444.75,424.75,1,1000.0,3.0,997.0,15,signal_exit
2019-05-02,2019-05-15,-1,433.0,451.0357142857143,1,-901.79,3.0,-904.79,13,stop
2019-05-15,2019-05-16,-1,448.5,466.75,1,-912.5,3.0,-915.5,1,signal_exit
2019-07-15,2019-07-16,1,508.0,507.75,1,-12.5,3.0,-15.5,1,signal_exit
2019-09-11,2019-09-12,-1,477.25,485.5,1,-412.5,3.0,-415.5,1,signal_exit
2019-10-25,2019-11-12,1,518.0,517.25,1,-37.5,3.0,-40.5,18,signal_exit
2019-11-13,2019-11-15,1,509.25,503.0,1,-312.5,3.0,-315.5,2,signal_exit
2019-11-26,2020-02-03,1,530.5,555.75,1,1262.5,3.0,1259.5,69,signal_exit
2020-02-05,2020-02-11,1,562.25,542.25,1,-1000.0,3.0,-1003.0,6,signal_exit
2020-02-19,2020-02-20,1,565.5,560.25,1,-262.5,3.0,-265.5,1,signal_exit
2020-03-24,2020-04-03,1,561.75,549.5,1,-612.5,3.0,-615.5,10,signal_exit
2020-04-06,2020-04-16,1,556.0,530.0,1,-1300.0,3.0,-1303.0,10,signal_exit
2020-04-21,2020-04-23,1,547.0,547.25,1,12.5,3.0,9.5,2,signal_exit
2020-06-12,2020-07-08,-1,501.75,512.8571428571429,1,-555.36,3.0,-558.36,26,stop
