date,gross_crush_usd_bu,net_crush_usd_bu,net_crush_usd_mt,crush_signal,crush_pctile
2015-01-02,1.333,1.033,37.94,0,67.85332858668566
2015-01-05,1.318,1.018,37.39,0,67.12353150587398
2015-01-06,1.243,0.943,34.67,0,63.3499466002136
2015-01-07,1.207,0.907,33.34,0,61.40975436098256
2015-01-08,1.192,0.892,32.79,0,60.28835884656461
2015-01-09,1.178,0.878,32.26,0,59.55856176575294
2015-01-12,1.278,0.978,35.92,0,65.1121395514418
2015-01-13,1.256,0.956,35.14,0,63.90174439302243
2015-01-14,0.893,0.593,21.81,-1,33.09006763972944
2015-01-15,0.906,0.606,22.28,-1,34.371662513349946
2015-01-16,0.932,0.632,23.21,-1,37.148451406194376
2015-01-20,0.975,0.675,24.82,-1,42.29263082947668
2015-01-21,1.001,0.701,25.76,-1,46.404414382342466
2015-01-22,1.011,0.711,26.14,-1,47.24101103595586
2015-01-23,1.042,0.742,27.25,-1,50.97899608401566
2015-01-26,1.04,0.74,27.18,-1,50.765396938412245
2015-01-27,1.096,0.796,29.26,-1,54.37878248487006
2015-01-28,1.058,0.758,27.84,-1,51.97579209683161
2015-01-29,1.001,0.701,25.75,-1,46.404414382342466
2015-01-30,0.948,0.648,23.8,-1,38.803844784620864
2015-02-02,0.964,0.664,24.39,-1,40.81523673905305
2015-02-03,1.011,0.711,26.13,-1,47.24101103595586
2015-02-04,0.964,0.664,24.41,-1,40.81523673905305
2015-02-05,0.966,0.666,24.49,-1,41.046635813456746
2015-02-06,1.012,0.712,26.16,-1,47.36561053755785
2015-02-09,0.987,0.687,25.25,-1,44.58882164471342
2015-02-10,0.961,0.661,24.3,-1,40.37023851904593
2015-02-11,0.966,0.666,24.48,-1,41.046635813456746
2015-02-12,0.955,0.655,24.05,-1,39.4624421502314
2015-02-13,0.97,0.67,24.6,-1,41.54503381986472
2015-02-17,1.008,0.708,26.03,-1,46.938412246351014
2015-02-18,1.013,0.713,26.19,-1,47.47241011035956
2015-02-19,1.074,0.774,28.43,-1,52.83018867924528
2015-02-20,1.115,0.815,29.96,0,55.393378426486294
2015-02-23,1.095,0.795,29.23,-1,54.25418298326806
2015-02-24,1.148,0.848,31.16,0,57.76076895692417
2015-02-25,1.122,0.822,30.19,0,55.80277678889285
2015-02-26,1.064,0.764,28.06,-1,52.36739053043787
2015-02-27,1.082,0.782,28.73,-1,53.47098611605554
2015-03-02,1.054,0.754,27.69,-1,51.815592737629046
2015-03-03,1.04,0.74,27.19,-1,50.765396938412245
2015-03-04,0.983,0.683,25.11,-1,43.87682449270203
2015-03-05,1.022,0.722,26.51,-1,48.78960484158063
2015-03-06,1.047,0.747,27.44,-1,51.22819508721965
2015-03-09,1.08,0.78,28.66,-1,53.275186899252404
2015-03-10,1.116,0.816,30.0,0,55.446778212887146
2015-03-11,1.122,0.822,30.21,0,55.80277678889285
2015-03-12,1.076,0.776,28.5,-1,52.99038803844785
2015-03-13,1.074,0.774,28.45,-1,52.83018867924528
2015-03-16,0.772,0.472,17.34,-1,16.73193307226771
2015-03-17,0.744,0.444,16.33,-1,14.186543253826986
